WARNING 2025-11-13 11:30:30,795 basehttp "GET /api/v1/orders HTTP/1.1" 404 3355
INFO 2025-11-13 11:30:30,843 basehttp "GET /api/v1/samples HTTP/1.1" 200 2
INFO 2025-11-13 11:30:33,438 basehttp "GET /api/v1/dashboard HTTP/1.1" 200 1744
INFO 2025-11-13 11:30:33,479 basehttp "GET /api/v1/dashboard HTTP/1.1" 200 1744
INFO 2025-11-13 11:51:03,183 autoreload Watching for file changes with StatReloader
INFO 2025-11-13 11:57:07,425 basehttp "OPTIONS /api/v1/dashboard HTTP/1.1" 200 0
INFO 2025-11-13 11:57:07,480 basehttp "GET /api/v1/dashboard HTTP/1.1" 200 1744
INFO 2025-11-13 11:57:09,932 basehttp "OPTIONS /api/v1/orders HTTP/1.1" 200 0
INFO 2025-11-13 11:57:09,933 basehttp "OPTIONS /api/v1/orders HTTP/1.1" 200 0
WARNING 2025-11-13 11:57:09,944 log Not Found: /api/v1/orders
WARNING 2025-11-13 11:57:09,945 basehttp "GET /api/v1/orders HTTP/1.1" 404 3355
WARNING 2025-11-13 11:57:09,948 log Not Found: /api/v1/orders
WARNING 2025-11-13 11:57:09,948 basehttp "GET /api/v1/orders HTTP/1.1" 404 3355
INFO 2025-11-13 11:57:11,759 basehttp "GET /api/v1/dashboard HTTP/1.1" 200 1744
INFO 2025-11-13 11:57:11,800 basehttp "GET /api/v1/dashboard HTTP/1.1" 200 1744
WARNING 2025-11-13 11:57:13,584 log Not Found: /api/v1/orders
WARNING 2025-11-13 11:57:13,584 basehttp "GET /api/v1/orders HTTP/1.1" 404 3355
WARNING 2025-11-13 11:57:13,594 log Not Found: /api/v1/orders
WARNING 2025-11-13 11:57:13,594 basehttp "GET /api/v1/orders HTTP/1.1" 404 3355
INFO 2025-11-13 11:57:16,173 basehttp "GET /api/v1/dashboard HTTP/1.1" 200 1744
INFO 2025-11-13 11:57:16,218 basehttp "GET /api/v1/dashboard HTTP/1.1" 200 1744
INFO 2025-11-13 11:57:18,884 basehttp "OPTIONS /api/v1/samples HTTP/1.1" 200 0
INFO 2025-11-13 11:57:18,884 basehttp "OPTIONS /api/v1/samples HTTP/1.1" 200 0
WARNING 2025-11-13 11:57:18,896 log Not Found: /api/v1/orders
WARNING 2025-11-13 11:57:18,896 basehttp "GET /api/v1/orders HTTP/1.1" 404 3355
WARNING 2025-11-13 11:57:18,902 log Not Found: /api/v1/orders
WARNING 2025-11-13 11:57:18,902 basehttp "GET /api/v1/orders HTTP/1.1" 404 3355
INFO 2025-11-13 11:57:19,032 basehttp "GET /api/v1/samples HTTP/1.1" 200 2
INFO 2025-11-13 11:57:19,065 basehttp "GET /api/v1/samples HTTP/1.1" 200 2
INFO 2025-11-13 11:57:21,028 basehttp "OPTIONS /api/v1/financials/proforma-invoices HTTP/1.1" 200 0
INFO 2025-11-13 11:57:21,029 basehttp "OPTIONS /api/v1/financials/letters-of-credit HTTP/1.1" 200 0
INFO 2025-11-13 11:57:21,029 basehttp "OPTIONS /api/v1/financials/proforma-invoices HTTP/1.1" 200 0
INFO 2025-11-13 11:57:21,030 basehttp "OPTIONS /api/v1/financials/letters-of-credit HTTP/1.1" 200 0
WARNING 2025-11-13 11:57:21,033 log Not Found: /api/v1/orders
WARNING 2025-11-13 11:57:21,041 log Not Found: /api/v1/financials/proforma-invoices
WARNING 2025-11-13 11:57:21,043 log Not Found: /api/v1/financials/letters-of-credit
WARNING 2025-11-13 11:57:21,044 basehttp "GET /api/v1/orders HTTP/1.1" 404 3355
WARNING 2025-11-13 11:57:21,045 basehttp "GET /api/v1/financials/proforma-invoices HTTP/1.1" 404 3421
WARNING 2025-11-13 11:57:21,046 basehttp "GET /api/v1/financials/letters-of-credit HTTP/1.1" 404 3421
WARNING 2025-11-13 11:57:21,054 log Not Found: /api/v1/orders
WARNING 2025-11-13 11:57:21,055 log Not Found: /api/v1/financials/proforma-invoices
WARNING 2025-11-13 11:57:21,055 basehttp "GET /api/v1/orders HTTP/1.1" 404 3355
WARNING 2025-11-13 11:57:21,056 log Not Found: /api/v1/financials/letters-of-credit
WARNING 2025-11-13 11:57:21,056 basehttp "GET /api/v1/financials/proforma-invoices HTTP/1.1" 404 3421
WARNING 2025-11-13 11:57:21,056 basehttp "GET /api/v1/financials/letters-of-credit HTTP/1.1" 404 3421
WARNING 2025-11-13 11:57:27,645 log Not Found: /api/v1/orders
WARNING 2025-11-13 11:57:27,647 basehttp "GET /api/v1/orders HTTP/1.1" 404 3355
WARNING 2025-11-13 11:57:27,659 log Not Found: /api/v1/orders
WARNING 2025-11-13 11:57:27,660 basehttp "GET /api/v1/orders HTTP/1.1" 404 3355
INFO 2025-11-13 11:57:27,685 basehttp "GET /api/v1/samples HTTP/1.1" 200 2
INFO 2025-11-13 11:57:27,719 basehttp "GET /api/v1/samples HTTP/1.1" 200 2
INFO 2025-11-13 12:00:04,555 autoreload F:\provabook django\provabook-3\backend_django\config\settings.py changed, reloading.
INFO 2025-11-13 12:00:05,030 autoreload Watching for file changes with StatReloader
INFO 2025-11-13 12:02:04,699 autoreload F:\provabook django\provabook-3\backend_django\config\urls.py changed, reloading.
INFO 2025-11-13 12:02:05,209 autoreload Watching for file changes with StatReloader
WARNING 2025-11-13 12:12:57,291 log Unauthorized: /api/v1/orders
WARNING 2025-11-13 12:12:57,291 log Unauthorized: /api/v1/samples
WARNING 2025-11-13 12:12:57,291 basehttp "GET /api/v1/orders HTTP/1.1" 401 82
WARNING 2025-11-13 12:12:57,291 basehttp "GET /api/v1/samples HTTP/1.1" 401 82
INFO 2025-11-13 12:13:01,353 basehttp "OPTIONS /api/v1/auth/login HTTP/1.1" 200 0
INFO 2025-11-13 12:13:01,754 basehttp "POST /api/v1/auth/login HTTP/1.1" 200 931
INFO 2025-11-13 12:13:02,130 basehttp "GET /api/v1/dashboard HTTP/1.1" 200 1744
INFO 2025-11-13 12:13:02,172 basehttp "GET /api/v1/dashboard HTTP/1.1" 200 1744
INFO 2025-11-13 12:13:04,003 basehttp "GET /api/v1/orders HTTP/1.1" 200 2057
INFO 2025-11-13 12:13:04,046 basehttp "GET /api/v1/orders HTTP/1.1" 200 2057
INFO 2025-11-13 12:13:13,959 basehttp "POST /api/v1/orders HTTP/1.1" 201 1084
INFO 2025-11-13 12:13:14,122 basehttp "GET /api/v1/orders HTTP/1.1" 200 2454
INFO 2025-11-13 12:13:18,803 basehttp "OPTIONS /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5 HTTP/1.1" 200 0
INFO 2025-11-13 12:13:18,803 basehttp "OPTIONS /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5 HTTP/1.1" 200 0
INFO 2025-11-13 12:13:18,803 basehttp "OPTIONS /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5/documents HTTP/1.1" 200 0
INFO 2025-11-13 12:13:18,809 basehttp "OPTIONS /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5/documents HTTP/1.1" 200 0
INFO 2025-11-13 12:13:18,865 basehttp "GET /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5 HTTP/1.1" 200 1084
INFO 2025-11-13 12:13:18,868 basehttp "GET /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5/documents HTTP/1.1" 200 2
INFO 2025-11-13 12:13:18,916 basehttp "GET /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5 HTTP/1.1" 200 1084
INFO 2025-11-13 12:13:18,916 basehttp "GET /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5/documents HTTP/1.1" 200 2
INFO 2025-11-13 12:13:27,551 basehttp "OPTIONS /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5/approvals HTTP/1.1" 200 0
INFO 2025-11-13 12:13:27,597 basehttp "PATCH /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5/approvals HTTP/1.1" 200 1103
INFO 2025-11-13 12:13:27,632 basehttp "GET /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5 HTTP/1.1" 200 1103
INFO 2025-11-13 12:13:29,921 basehttp "PATCH /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5/approvals HTTP/1.1" 200 1126
INFO 2025-11-13 12:13:29,955 basehttp "GET /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5 HTTP/1.1" 200 1126
INFO 2025-11-13 12:13:31,918 basehttp "PATCH /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5/approvals HTTP/1.1" 200 1151
INFO 2025-11-13 12:13:31,958 basehttp "GET /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5 HTTP/1.1" 200 1151
INFO 2025-11-13 12:13:33,696 basehttp "PATCH /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5/approvals HTTP/1.1" 200 1175
